id,label
0,2-6
1,1-4
2,4-7
3,5-30
4,5-30
5,2-33
6,2-3
7,4-7
8,6-34
9,1-10
10,2-2
11,6-34
12,2-3
13,6-8
14,6-19
15,2-2
16,6-21
17,1-4
18,2-2
19,1-4
20,2-33
21,6-28
22,1-1
23,2-3
24,2-3
25,6-21
26,4-7
27,6-29
28,1-1
29,6-31
30,5-22
31,1-4
32,1-4
33,2-2
34,1-9
35,6-8
36,2-3
37,2-6
38,1-9
39,1-1
40,6-29
41,1-4
42,1-4
43,1-4
44,1-4
45,1-1
46,1-1
47,6-28
48,1-10
49,2-33
50,5-35
51,2-25
52,1-9
53,1-1
54,4-7
55,6-15
56,1-1
57,5-12
58,2-2
59,2-33
60,1-1
61,2-33
62,6-13
63,2-6
64,1-1
65,6-28
66,6-19
67,1-10
68,5-30
69,4-7
70,1-1
71,2-25
72,1-10
73,1-9
74,1-9
75,6-15
76,2-3
77,5-30
78,2-25
79,1-9
80,1-9
81,2-33
82,6-29
83,6-29
84,6-31
85,2-6
86,1-9
87,1-10
88,4-7
89,2-14
90,2-25
91,5-24
92,1-9
93,2-6
94,5-30
95,6-28
96,2-6
97,1-1
98,2-3
99,6-15
100,1-10
101,1-9
102,2-14
103,6-15
104,2-6
105,1-9
106,5-30
107,2-33
108,2-3
109,5-30
110,1-10
111,1-9
112,2-14
113,1-1
114,6-21
115,1-1
116,6-29
117,4-7
118,6-13
119,5-22
120,2-25
121,1-9
122,2-2
123,6-8
124,1-1
125,6-15
126,5-30
127,1-9
128,2-6
129,1-1
130,1-9
131,2-3
132,6-15
133,1-9
134,2-2
135,5-30
136,1-4
137,5-12
138,6-15
139,5-30
140,2-6
141,4-7
142,1-4
143,2-6
144,1-9
145,2-3
146,6-13
147,1-4
148,1-1
149,6-28
150,2-14
151,1-4
152,1-9
153,6-15
154,6-8
155,5-30
156,2-6
157,2-2
158,2-3
159,4-7
160,1-4
161,2-3
162,4-7
163,6-8
164,1-4
165,1-10
166,1-1
167,2-6
168,1-1
169,2-2
170,1-10
171,6-8
172,6-8
173,2-6
174,6-15
175,1-10
176,2-3
177,2-6
178,1-4
179,5-30
180,2-3
181,1-1
182,5-22
183,2-3
184,2-3
185,4-7
186,2-2
187,6-8
188,2-2
189,6-19
190,2-14
191,1-1
192,1-1
193,1-1
194,2-3
195,2-6
196,5-30
197,2-6
198,2-6
199,4-7
200,2-3
201,1-1
202,2-14
203,6-34
204,5-35
205,2-6
206,2-2
207,1-9
208,2-6
209,2-3
210,2-3
211,2-14
212,4-7
213,1-1
214,6-29
215,1-4
216,5-30
217,2-2
218,6-29
219,1-4
220,1-9
221,2-11
222,2-6
223,1-9
224,1-1
225,1-10
226,4-7
227,6-28
228,2-6
229,1-10
230,5-30
231,2-2
232,2-33
233,1-1
