id,text,label
0,7442 27878 9601 235 4004 10636 19121 28648 22737 10935 10922 29296 3263 8194 17799 ， 9601 4004 28648 22737 19897 8194 929 235 23926 28648 22737 5933 19052 715 25945 ， 8194 2281 10893 26694 8 10922 20097 30327 1602 23897 4274 6762 2545 235 13778 5091 29584 17281 17983 9614,5-30
1,2281 24058 20163 22737 25572 1845 10446 28438 10300 17281 11160 20428 8194 26526 25682 ， 12163 2750 11693 9410 5292 26366 15912 10723 10300 10658 19047 10636 6809 16328 15766 4198 20923 28041 20781 13178 ， 7661 19121 14547 20431 3848 15469 23349 26526 8299 12520 9805 16575 11160 20428 8641 15316,5-30
2,12163 8224 13343 26307 18947 10922 10446 8679 12052 27145 25483 19121 7424 23308 7251 8100 ， 25682 12567 1654 2106 10039 25483 8100 10647 5540 12052 12567 17857 4397 4274 11962 20788 17281 19339 8258 ， 25658 4529 12021 11100 30181 749 7251 29099 4198 20060,1-1
3,28685 16037 3261 14485 26363 16037 29555 8766 10647 18229 16430 14684 27370 18371 1845 5697 9023 625 14684 27370 233 233 21857 21534 ， 7442 17983 9614 17281 14684 27370 233 233 21857 21534 21857 12153 28682 14684 27370 16328 29179 2103 487 11819 25504 10647 8194 25131 8327 4018 29192,1-9
4,10974 16249 8266 16328 2103 4198 929 4685 22542 13114 10300 104 13839 24808 11342 25945 ， 3848 19855 9019 19121 5219 8202 18128 1396 24583 13178 28503 21473 29627 17362 ， 17170 14131 5192 19433 5216 28648 10723 10647 4004 22382 14232 6494 26336 9979 25163 10411 6517,1-9
5,2617 1053 25945 ， 14547 19121 5609 8100 15469 19339 25504 21534 4198 929 25130 6005 11513 8513 10723 24073 17281 10449 10446 30139 3263 5933 19052 17062 16648 ， 22160 12248 28232 1202 2281 15912 10723 17281 6005 16575 1292 27013 12196 5379 1065,6-29
6,9925 28018 21440 2281 2286 1396 16328 233 8679 8644 13778 9628 5697 16042 4925 2286 2970 26564 85 25585 26313 8766 21871 25658,1-10
7,5602 26366 14950 26336 8808 12790 10449 22542 2281 22253 3099 14150 16045 803 10723 24540 21326 17281 4836 23192 14950 2090 ， 30100 18430 13688 16328 1845 4198 22131 881 15912 10723 10723 8147 27013 12196 1317 ， 8456 10645 19604 10039 979 11295 26336 8194 929 19047 12367 4355 3291 5368 4397 28394 1433,5-12
8,12163 8224 13343 5697 17060 21114 4106 9210 14684 10647 10722 8456 10893 3144 5697 1943 17281 3110 18496 ， 27665 8456 26336 929 14547 10449 21209 23904 1030 15469 17281 17861 3644 29498 18371 8679 1845 4198 ， 7915 25130 28018 2281 25179 13178 16337 25483 19121 26417 22666 4747 8503 24583 15707 4054 10449 22014 3292 15419 16648 12248 ， 25483 19121 12163 12331 6082 4106 5489 14232 27095 26366 19269 1030,6-13
9,25483 19121 8146 10674 1317 ， 12163 8224 13343 2281 15475 803 2705 15707 9601 24058 11414 18496 2797 6197 18851 17281 625 25145 15107 8808 ， 12153 28682 25130 2738 11973 13178 3292 23786 5697 14824 17256 17281 21618 26537 12567 23503 8456 29547 17281 25203 2484 8189 9955 29322 7442 8414 4873 25398 29627,2-6
10,15991 235 23926 27700 18244 29731 12459 3644 14501 16328 1845 4198 104 23084 ， 28900 27013 9023 22737 15085 12163 25130 6809 16037 20990 15708 5756 2859 25219 26393 4876 14325 4039 3001 20923 2281 11160 20428 28503 21473 3844 24586 8194 4767 9614 28957 8194 26526 29956 25682 20781 13178 4054 12153 10922 26154 749,5-30
11,4004 22382 14232 25219 15241 26393 25219 18736 7994 20990 22274 3994 17062 29525 4969 1317 ， 23308 25130 10879 1065 2337 17281 20788 27370 21534 2103 2103 30100 17062 9810 18947 1730 12153 3519 6494 2281 929 23308 24583 15707 17062 16648 10300 ， 20414 16575 16868 19227 5609 3994 6637 25504 12960 8729 7469,6-29
12,25658 4529 ， 26096 19636 21534 16328 25473 27700 705 29731 23316 1586 17281 10026 27308 10449 12590 ， 19121 11160 2281 4767 7710 28776 19642 18529 19052 2187 15707 24007 10922 17281 15475 28943 3780 625 23415 22480 ， 5216 19636 23880 21686 24583 15707 25504 30181 9283 25368 752 25473 26096 2281 25368 2545 22920 1834 27779 4355 9737 1126 3719 5091 6288 24583 15707 25504 2990 13462 15707 24007 ， 19121 30100 15305 19934 18417 2628 16542 19934 26096 2281 25368 752 17062 14208 22920 1834 29401 21159 2990 13462 24583 15707 25504 8147 12520 ， 22705 11766 29003 16575 4054 17861 16542 4397 10645,1-9
13,29296 6762 20244 1292 29555 23415 22480 5091 29584 24583 15318 25682 ， 29296 6762 20244 19121 11160 17281 27151 26526 11342 13607 12367 4054 4004 22382 14232 11568 29296 6762 20244 17281 28648 2224 25504 16051 ， 10449 28396 19886 924 4004 22382 14232 28648 2224 15847 29344 17281 8335 6635 24965 6130 24169,6-28
14,26615 11819 9043 27063 24583 15318 25682 ， 25483 19121 28332 28860 8808 12790 1823 3262 22157 8189 26669 12163 28957 8808 12790 28438 2990 4529 5046 19897 13846 ， 24058 20163 8808 12790 14477 749 ， 1258 13535 10449 22014 12246 20508 26568 11402 17281 3292 15419 28461 22197 19052 15707,5-12
15,12446 8718 10879 15395 3037 10449 25585 22690 16542 10937 5609 ， 1826 2797 22241 28099 23468 4274 3292 15419 2705 15707,6-19
16,2281 10922 19047 20447 26336 20781 13178 22014 19226 25483 19121 27013 12196 17281 24583 13178 8194 10922 ， 8766 10937 29842 1834 27 9861 9043 22737 12631 1602 17861 15043 ， 14547 20447 26336 2281 16328 8251 2103 1242 10446 19121 12235 24053 1451 2090 13470 ， 20163 2286 10636 3780 1396 ， 28705 13712 2832 20097 8943 25672 17281 29525 1211 28503 21473 23796 4472 15469,1-9
17,5346 28109 3295 3934 28025 11342 29525 26729 7464 2965 6266 2281 28461 15316 17857 9597 19121 6316 23503 6809 10811 8251 20923 10620 8194 25682 ， 2124 19121 26307 18947 10935 6762 2240 2281 17525 8679 233 8251 4198 24583 26669 23635 22131 ， 1317 14547 26096 24058 220 9925 8147 23651 6189 17281 10722 8456 15469,2-33
18,8194 26526 4159 24053 4529 ， 28332 13462 19121 22812 11760 22737 28751 12163 12660 14232 24583 2106 2617 1053 ， 929 1258 10449 16648 12248 9043 27063 5933 19052 4054 3218 726 21748 17281 25427 15465,5-30
19,5346 22542 13114 10300 104 11568 25483 19121 12163 10063 24808 11342 14485 22495 29847 14485 22542 13114 10300 104 24808 11342 14485 12631 13229 11955 14485 26238 24705 6266 25483 19121 20097 23904 29504 8808 17861 13995 ， 3470 23926 29992 19728 14547 9601 19121 10411 6517 15107 15469,2-33
20,2281 21552 4873 3042 274 9601 19121 5540 19934 15318 24445 19226 ， 10935 16542 15785 8147 9963 26765 20458 22241 28099 17281 21771 3644 12520 27063 1451 24053 8808 12790,5-12
21,25212 15991 11259 19121 4685 14489 25843 4198 104 13839 8251 4198 104 23084 ， 9023 625 25203 2484 23503 10674 15912 14051 4529 5046 9601 19121 11568 11259 16542 26417 22666 4529 10039 10411 ， 26564 85 9601 19121 3262 5120 5897 26096 12061 9004,6-28
22,19800 11100 16456 25572 4397 10449 18679 ， 12163 8224 13343 27013 12196 28874 10411 6517 26564 929 25585 22690 16542 5933 3099 8335 6635 18890 29000 24169 24593 13489 17281 5602 21649,2-33
23,8067 9023 625 29099 5379 1065 16328 2103 4198 10449 23926 17675 15647 10879 12998 26307 18947 12196 19328 17861 26564 25504 16051 ， 3382 26366 1242 19121 28332 8100 6288 24007 7251 26669 9023 625 17675 15647 24073 ， 20850 3240 7800 2224 26669 25473 20097 10723 28232,6-29
24,15305 16337 24457 15647 6653 17281 1292 929 15439 18319 26366 15912 14051 3240 7800 21004 4529 16542 803 ， 19897 24965 10063 6400 26934 10449 27091 14547 11672 19340 15469,2-3
25,979 20163 ， 3218 1730 25483 19121 5697 9925 8147 10979 1004 17281 13535 ， 9601 19121 396 3144 25585 26313 1258 26754 19339 28543 28136 20531 ， 4274 4004 22382 14232 4428 22705 4428,4-7
26,10620 8194 20060 10658 ， 12163 8224 13343 26437 4054 13343 1394 ， 20414 13535 4430 8194 17799 5144 8137 26336 14547 5144 28133 2224 1943 15469,5-30
27,5346 28109 3295 3934 28025 11342 29525 30292 3319 6266 17018 14051 10449 7390 6200 21534 8679 16328 233 4198 1225 ， 1242 12235 28648 8146 104 23084 ， 21344 8022 10937 29842 26568 8644 25483 19121 25585 25157 10449 12235 10723 8147 2124 16157 22014 19226 17937 21853 24766 13971 10937 29842 17821 19654 9895 1357 22103 1292 23182 25130 1744 7481 8223 2738,6-21
28,20850 12153 3519 6494 8322 11295 1258 12331 25945 2124 ， 22705 1317 648 16337 233 2103 24965 12248 19340 17281 10300 16045 13767 27370 16328 29179 26568 24058 29099 24053 1938 5602 17062 13447,2-11
29,29547 2281 10449 20669 2617 1053 9601 25945 ， 19121 20097 17281 12153 3519 6494 8100 9043 2066 2090 10937 29842 14547 10647 2281 5219 1396 11160 15469 2224 16754 14547 7481 10238 20163 29235 4938 24583 18239 24540 21092 9895 6636 22160 12248 15469 17281 9935 5933 6316 4397 8137 9810 18947,1-9
30,6653 28136 929 25483 28332 2199 24808 11342 2106 10039 29498 14547 29547 6809 15085 6762 26934 20923 18740 11513 17281 23904 7481 12153 25945 13374 29547 7800 929 979 8194 13535 25469 27160 11342 2494 ， 20850 29547 13712 17804 9981 881 23084 15469,1-9
